,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
670,374,"7/2/20, 11:41 - AI Derek: Good morning everyone
",AI Derek,Good morning everyone,good morning everyone,02-07-2020 11.41,11,3
671,377,"7/2/20, 11:42 - AI Derek: @233247936396 can you get us the certificate design today ?
",AI Derek,@233247936396 can you get us the certificate design today ?, can you get us the certificate design today ,02-07-2020 11.42,11,3
672,378,"7/2/20, 11:42 - AI Derek: @233249435529 we need some slight modification to the site
",AI Derek,@233249435529 we need some slight modification to the site, we need some slight modification to the site,02-07-2020 11.42,11,3
673,379,"7/2/20, 11:42 - AI Derek: And also
",AI Derek,And also,and also,02-07-2020 11.42,11,3
674,376,"7/2/20, 11:42 - AI Derek: So quick one
",AI Derek,So quick one,so quick one,02-07-2020 11.42,11,3
675,375,"7/2/20, 11:42 - AI Derek: Hope we all good
",AI Derek,Hope we all good,hope we all good,02-07-2020 11.42,11,3
676,380,"7/2/20, 11:43 - AI Derek: I want us to start our virtual mentoring program from next week Sunday.
",AI Derek,I want us to start our virtual mentoring program from next week Sunday.,i want us to start our virtual mentoring program from next week sunday,02-07-2020 11.43,11,3
677,381,"7/2/20, 11:43 - AI Derek: And only Sunday is available
",AI Derek,And only Sunday is available,and only sunday is available,02-07-2020 11.43,11,3
678,382,"7/2/20, 11:43 - AI Derek: For the mentoring program 
",AI Derek,For the mentoring program ,for the mentoring program ,02-07-2020 11.43,11,3
679,386,"7/2/20, 11:45 - AI Derek: Any suggestions
",AI Derek,Any suggestions,any suggestions,02-07-2020 11.45,11,3
680,387,"7/2/20, 11:45 - AI Derek: ??
",AI Derek,??,,02-07-2020 11.45,11,3
681,383,"7/2/20, 11:45 - AI Derek: We are going to release a form for people to sign 
",AI Derek,We are going to release a form for people to sign ,we are going to release a form for people to sign ,02-07-2020 11.45,11,3
