,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
808,113,"7/8/20, 08:44 - Alex Notitia: Good morning, everyone.
",Alex Notitia,"Good morning, everyone.",good morning everyone,08-07-2020 8.44,8,2
809,114,"7/8/20, 08:45 - Alex Notitia: It doesn't require login.
",Alex Notitia,It doesn't require login.,it doesnt require login,08-07-2020 8.45,8,2
810,147,"7/8/20, 08:47 - Ḅj: definitely
",Ḅj,definitely,definitely,08-07-2020 8.47,8,2
811,148,"7/8/20, 08:53 - Ḅj: its awesome
",Ḅj,its awesome,its awesome,08-07-2020 8.53,8,2
812,115,"7/8/20, 08:59 - Alex Notitia: That's what you think.
",Alex Notitia,That's what you think.,thats what you think,08-07-2020 8.59,8,2
813,150,"7/8/20, 09:00 - Ḅj: killer paa
",Ḅj,killer paa,killer paa,08-07-2020 9.00,9,2
814,149,"7/8/20, 09:00 - Ḅj: wow😂😂
",Ḅj,wow😂😂,wow,08-07-2020 9.00,9,2
815,116,"7/8/20, 09:00 - Alex Notitia: Monster libraries.
",Alex Notitia,Monster libraries.,monster libraries,08-07-2020 9.00,9,2
816,151,"7/8/20, 09:01 - Ḅj: the UI is soo smooothh and its flexible
",Ḅj,the UI is soo smooothh and its flexible,the ui is soo smooothh and its flexible,08-07-2020 9.01,9,2
817,117,"7/8/20, 09:03 - Alex Notitia: Yeah. 
",Alex Notitia,Yeah. ,yeah ,08-07-2020 9.03,9,2
818,152,"7/8/20, 09:04 - Ḅj: thats nice🙌
",Ḅj,thats nice🙌,thats nice,08-07-2020 9.04,9,2
819,118,"7/8/20, 09:04 - Alex Notitia: 👍
",Alex Notitia,👍,,08-07-2020 9.04,9,2
820,429,"7/8/20, 09:36 - AI Derek: Adding the LinkedIn and Google will be a major hit
",AI Derek,Adding the LinkedIn and Google will be a major hit,adding the linkedin and google will be a major hit,08-07-2020 9.36,9,2
821,428,"7/8/20, 09:36 - AI Derek: Perfect
",AI Derek,Perfect,perfect,08-07-2020 9.36,9,2
822,78,"7/8/20, 09:41 - Norbert Notitia: Great Job. Tested and it looks good
",Norbert Notitia,Great Job. Tested and it looks good,great job tested and it looks good,08-07-2020 9.41,9,2
823,119,"7/8/20, 10:36 - Alex Notitia: Sure
",Alex Notitia,Sure,sure,08-07-2020 10.36,10,2
824,120,"7/8/20, 10:36 - Alex Notitia: 👍
",Alex Notitia,👍,,08-07-2020 10.36,10,2
825,430,"7/8/20, 22:23 - AI Derek: Can we send it out for others to try ?
",AI Derek,Can we send it out for others to try ?,can we send it out for others to try ,08-07-2020 22.23,22,2
826,431,"7/8/20, 22:24 - AI Derek: @233504782862 send mails to the participants for the interview
",AI Derek,@233504782862 send mails to the participants for the interview, send mails to the participants for the interview,08-07-2020 22.24,22,2
827,432,"7/8/20, 22:24 - AI Derek: @233554349393 what day this weekend is it gonna be good for us to have the interview
",AI Derek,@233554349393 what day this weekend is it gonna be good for us to have the interview, what day this weekend is it gonna be good for us to have the interview,08-07-2020 22.24,22,2
828,153,"7/8/20, 22:25 - Ḅj: all of them?
",Ḅj,all of them?,all of them,08-07-2020 22.25,22,2
829,434,"7/8/20, 22:25 - AI Derek: And let’s interview them all
",AI Derek,And let’s interview them all,and lets interview them all,08-07-2020 22.25,22,2
830,433,"7/8/20, 22:25 - AI Derek: Yes please
",AI Derek,Yes please,yes please,08-07-2020 22.25,22,2
831,154,"7/8/20, 22:26 - Ḅj: okay
",Ḅj,okay,okay,08-07-2020 22.26,22,2
832,435,"7/8/20, 22:27 - AI Derek: Use the notitia official mail to send
",AI Derek,Use the notitia official mail to send,use the notitia official mail to send,08-07-2020 22.27,22,2
833,155,"7/8/20, 22:27 - Ḅj: when the day is decided and the time for the interview is scheduled or?
",Ḅj,when the day is decided and the time for the interview is scheduled or?,when the day is decided and the time for the interview is scheduled or,08-07-2020 22.27,22,2
834,156,"7/8/20, 22:28 - Ḅj: okay
",Ḅj,okay,okay,08-07-2020 22.28,22,2
835,157,"7/8/20, 22:28 - Ḅj: okay
",Ḅj,okay,okay,08-07-2020 22.28,22,2
836,436,"7/8/20, 22:28 - AI Derek: Yh
",AI Derek,Yh,yh,08-07-2020 22.28,22,2
837,158,"7/8/20, 22:39 - Ḅj: @233243319300  how is this
",Ḅj,@233243319300  how is this,  how is this,08-07-2020 22.39,22,2
838,437,"7/8/20, 22:40 - AI Derek: Good good
",AI Derek,Good good,good good,08-07-2020 22.40,22,2
839,159,"7/8/20, 22:40 - Ḅj: Dear Data Science Aspirant, 
",Ḅj,"Dear Data Science Aspirant, ",dear data science aspirant ,08-07-2020 22.40,22,2
840,160,"7/8/20, 22:41 - Ḅj: oh okay
",Ḅj,oh okay,oh okay,08-07-2020 22.41,22,2
841,438,"7/8/20, 22:41 - AI Derek: You can get @233246521995 to help too
",AI Derek,You can get @233246521995 to help too,you can get  to help too,08-07-2020 22.41,22,2
