,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
1116,539,"7/15/20, 11:09 - AI Derek: Latest from MIT and Toyota
",AI Derek,Latest from MIT and Toyota,latest from mit and toyota,15-07-2020 11.09,11,2
1117,540,"7/15/20, 11:09 - AI Derek: We can use this simulated data
",AI Derek,We can use this simulated data,we can use this simulated data,15-07-2020 11.09,11,2
1118,537,"7/15/20, 11:09 - AI Derek: agelab.mit.edu/driveseg
",AI Derek,agelab.mit.edu/driveseg,agelabmitedudriveseg,15-07-2020 11.09,11,2
1119,538,"7/15/20, 11:09 - AI Derek: @233504782862
",AI Derek,@233504782862,,15-07-2020 11.09,11,2
1120,159,"7/15/20, 15:04 - Alex Notitia: The site is catching up fast with applicants. We now have 33 mentees.
",Alex Notitia,The site is catching up fast with applicants. We now have 33 mentees.,the site is catching up fast with applicants we now have  mentees,15-07-2020 15.04,15,2
1121,541,"7/15/20, 15:05 - AI Derek: No Please we can’t allow
",AI Derek,No Please we can’t allow,no please we cant allow,15-07-2020 15.05,15,2
1122,542,"7/15/20, 15:06 - AI Derek: Our 20 is our benchmark
",AI Derek,Our 20 is our benchmark,our  is our benchmark,15-07-2020 15.06,15,2
1123,545,"7/15/20, 15:07 - AI Derek: But we will attend to them later
",AI Derek,But we will attend to them later,but we will attend to them later,15-07-2020 15.07,15,2
1124,544,"7/15/20, 15:07 - AI Derek: So just let them sign up
",AI Derek,So just let them sign up,so just let them sign up,15-07-2020 15.07,15,2
1125,543,"7/15/20, 15:07 - AI Derek: And they’ve not gone through our interviews
",AI Derek,And they’ve not gone through our interviews,and theyve not gone through our interviews,15-07-2020 15.07,15,2
1126,160,"7/15/20, 15:07 - Alex Notitia: Yeah. Am aware. I would only allow those on the list when it's time. @233246521995  send me the list.
",Alex Notitia,Yeah. Am aware. I would only allow those on the list when it's time. @233246521995  send me the list.,yeah am aware i would only allow those on the list when its time   send me the list,15-07-2020 15.07,15,2
1127,546,"7/15/20, 15:07 - AI Derek: Not now
",AI Derek,Not now,not now,15-07-2020 15.07,15,2
1128,547,"7/15/20, 15:17 - AI Derek: @233246521995 once they send please do send to Norbert
",AI Derek,@233246521995 once they send please do send to Norbert, once they send please do send to norbert,15-07-2020 15.17,15,2
1129,230,"7/15/20, 16:04 - Ḅj: okay
",Ḅj,okay,okay,15-07-2020 16.04,16,2
1130,161,"7/15/20, 16:06 - Alex Notitia: Wow.
",Alex Notitia,Wow.,wow,15-07-2020 16.06,16,2
1131,231,"7/15/20, 16:06 - Ḅj: I thinks some people posted their congratulatory mails on social media and this made others see the link
",Ḅj,I thinks some people posted their congratulatory mails on social media and this made others see the link,i thinks some people posted their congratulatory mails on social media and this made others see the link,15-07-2020 16.06,16,2
1132,162,"7/15/20, 16:07 - Alex Notitia: Nice stuffs anyway.
",Alex Notitia,Nice stuffs anyway.,nice stuffs anyway,15-07-2020 16.07,16,2
1133,232,"7/15/20, 16:07 - Ḅj: yeah
",Ḅj,yeah,yeah,15-07-2020 16.07,16,2
1134,163,"7/15/20, 16:08 - Alex Notitia: No worries bro.
",Alex Notitia,No worries bro.,no worries bro,15-07-2020 16.08,16,2
1135,233,"7/15/20, 16:08 - Ḅj: sure
",Ḅj,sure,sure,15-07-2020 16.08,16,2
1136,115,"7/15/20, 18:32 - Adwoa Notitia: 🥵🥵🥵.....how did they get the link?
",Adwoa Notitia,🥵🥵🥵.....how did they get the link?,how did they get the link,15-07-2020 18.32,18,2
1137,116,"7/15/20, 18:32 - Adwoa Notitia: Ok
",Adwoa Notitia,Ok,ok,15-07-2020 18.32,18,2
1138,117,"7/15/20, 18:32 - Adwoa Notitia: @233504782862 please can you forward to @233249435529 for me please
",Adwoa Notitia,@233504782862 please can you forward to @233249435529 for me please, please can you forward to  for me please,15-07-2020 18.32,18,2
1139,118,"7/15/20, 18:32 - Adwoa Notitia: I am not by my laptop at the moment
",Adwoa Notitia,I am not by my laptop at the moment,i am not by my laptop at the moment,15-07-2020 18.32,18,2
1140,119,"7/15/20, 18:33 - Adwoa Notitia: Ok sure....some people have
",Adwoa Notitia,Ok sure....some people have,ok suresome people have,15-07-2020 18.33,18,2
1141,234,"7/15/20, 18:33 - Ḅj: okay
",Ḅj,okay,okay,15-07-2020 18.33,18,2
1142,121,"7/15/20, 18:34 - Adwoa Notitia: @233554349393 please send me your email address
",Adwoa Notitia,@233554349393 please send me your email address, please send me your email address,15-07-2020 18.34,18,2
1143,120,"7/15/20, 18:34 - Adwoa Notitia: I will forward them
",Adwoa Notitia,I will forward them,i will forward them,15-07-2020 18.34,18,2
1144,122,"7/15/20, 18:36 - Adwoa Notitia: Thanks
",Adwoa Notitia,Thanks,thanks,15-07-2020 18.36,18,2
1145,123,"7/15/20, 18:38 - Adwoa Notitia: Yes it was 19 yesterday
",Adwoa Notitia,Yes it was 19 yesterday,yes it was  yesterday,15-07-2020 18.38,18,2
1146,124,"7/15/20, 18:38 - Adwoa Notitia: And two people’s email get bouncing back
",Adwoa Notitia,And two people’s email get bouncing back,and two peoples email get bouncing back,15-07-2020 18.38,18,2
1147,235,"7/15/20, 18:38 - Ḅj: I have 19 people
",Ḅj,I have 19 people,i have  people,15-07-2020 18.38,18,2
