,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
1050,499,"7/14/20, 08:30 - AI Derek: Any updates
",AI Derek,Any updates,any updates,14-07-2020 8.30,8,1
1051,500,"7/14/20, 08:30 - AI Derek: Good morning
",AI Derek,Good morning,good morning,14-07-2020 8.30,8,1
1052,501,"7/14/20, 08:30 - AI Derek: @233504782862 do you have any shortlist
",AI Derek,@233504782862 do you have any shortlist, do you have any shortlist,14-07-2020 8.30,8,1
1053,210,"7/14/20, 08:30 - Ḅj: yeah
",Ḅj,yeah,yeah,14-07-2020 8.30,8,1
1054,209,"7/14/20, 08:30 - Ḅj: good morning
",Ḅj,good morning,good morning,14-07-2020 8.30,8,1
1055,211,"7/14/20, 08:30 - Ḅj: I sent it to Adwoa
",Ḅj,I sent it to Adwoa,i sent it to adwoa,14-07-2020 8.30,8,1
1056,502,"7/14/20, 08:30 - AI Derek: Okay
",AI Derek,Okay,okay,14-07-2020 8.30,8,1
1057,212,"7/14/20, 08:31 - Ḅj: 17 i think
",Ḅj,17 i think, i think,14-07-2020 8.31,8,1
1058,505,"7/14/20, 08:31 - AI Derek: I’ve 3 to add
",AI Derek,I’ve 3 to add,ive  to add,14-07-2020 8.31,8,1
1059,503,"7/14/20, 08:31 - AI Derek: How many people
",AI Derek,How many people,how many people,14-07-2020 8.31,8,1
1060,504,"7/14/20, 08:31 - AI Derek: That’s fine
",AI Derek,That’s fine,thats fine,14-07-2020 8.31,8,1
1061,213,"7/14/20, 08:31 - Ḅj: great
",Ḅj,great,great,14-07-2020 8.31,8,1
1062,156,"7/14/20, 11:39 - Alex Notitia: Great
",Alex Notitia,Great,great,14-07-2020 11.39,11,1
1063,111,"7/14/20, 11:44 - Adwoa Notitia: Ok sure
",Adwoa Notitia,Ok sure,ok sure,14-07-2020 11.44,11,1
1064,112,"7/14/20, 11:45 - Adwoa Notitia: @233243319300 please can i have the three and please let me know when i can send them the confirmation mail.
",Adwoa Notitia,@233243319300 please can i have the three and please let me know when i can send them the confirmation mail., please can i have the three and please let me know when i can send them the confirmation mail,14-07-2020 11.45,11,1
1065,506,"7/14/20, 12:00 - AI Derek: WhatsApp number: 0595125562
",AI Derek,WhatsApp number: 0595125562,whatsapp number ,14-07-2020 12.00,12,1
1066,507,"7/14/20, 12:04 - AI Derek: Antoinette Brew-Wartemberg 
",AI Derek,Antoinette Brew-Wartemberg ,antoinette brewwartemberg ,14-07-2020 12.04,12,1
