,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
470,269,"6/10/20, 06:52 - AI Derek: Great
",AI Derek,Great,great,10-06-2020 6.52,6,2
471,70,"6/10/20, 10:43 - Ḅj: Wow🔥
",Ḅj,Wow🔥,wow,10-06-2020 10.43,10,2
472,65,"6/10/20, 11:41 - Alex Notitia: Good morning, team. Our site would be available for further testing Tomorrow.
",Alex Notitia,"Good morning, team. Our site would be available for further testing Tomorrow.",good morning team our site would be available for further testing tomorrow,10-06-2020 11.41,11,2
473,71,"6/10/20, 11:44 - Ḅj: Sure
",Ḅj,Sure,sure,10-06-2020 11.44,11,2
474,66,"6/10/20, 15:37 - Alex Notitia: Great
",Alex Notitia,Great,great,10-06-2020 15.37,15,2
475,72,"6/10/20, 15:37 - Ḅj: Sure
",Ḅj,Sure,sure,10-06-2020 15.37,15,2
476,273,"6/10/20, 17:10 - AI Derek: @233554349393 will add it to the rest of the flyers too
",AI Derek,@233554349393 will add it to the rest of the flyers too, will add it to the rest of the flyers too,10-06-2020 17.10,17,2
477,272,"6/10/20, 17:10 - AI Derek: Webinar link Via zoom
",AI Derek,Webinar link Via zoom,webinar link via zoom,10-06-2020 17.10,17,2
478,271,"6/10/20, 17:10 - AI Derek: Topic: Notitia Webinar 
",AI Derek,Topic: Notitia Webinar ,topic notitia webinar ,10-06-2020 17.10,17,2
479,61,"6/10/20, 17:18 - Norbert Notitia: Yes please
",Norbert Notitia,Yes please,yes please,10-06-2020 17.18,17,2
